id,smiles,mw,hbd,hba,rot_bonds,net_charge,ring_count,fsp3,tpsa,aromatic_rings,total_stereo,undefined_stereo,logp,rank,context,target_name,effector_name,reference_ligand_count,centroid_score
m_279130____28583316____28139432____28193274,CN1CC(CNC(=O)COc2cccc(-c3cn(-c4cccc(CN)c4)nn3)c2)CC1=O,434.5,2.0,7.0,8.0,0,4,0.304,115.37,3,1,1,1.37,1,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7325041890144348
m_279130____28130718____28139630____28194342,COC(C)C(C)n1cc(COc2cccc(C(=O)NC3CCc4ccccc4NC3=O)c2)nn1,463.54,2.0,7.0,8.0,0,4,0.36,107.37,3,3,1,3.14,2,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7249119281768799
s_38____15502722____6737684,CC(C)(C)OC(=O)Cn1ccc2cc(NC3CCN(c4ccc(C#N)cc4)C3=O)ccc21,430.51,1.0,6.0,5.0,0,4,0.32,87.36,3,1,1,4.07,3,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7191437482833862
m_275592____18896640____14139000____15859198,CN1CCC(CC(=O)N(C)C2CC3CCC(C2)N3C(=O)c2cccc3c2OCO3)C1=O,427.5,0.0,5.0,4.0,0,5,0.609,79.39,1,4,1,1.88,4,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.719016969203949
m_279130____28115674____28139558____28193850,CC(C)(C)N1CCC(NC(=O)c2cccc(-c3cn(CC4C5CNCC54)nn3)c2F)C1=O,440.52,2.0,6.0,5.0,0,5,0.565,92.15,2,4,1,1.68,5,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.715776801109314
m_279130____28126286____28139584____28195426,CN1CC(NC(=O)c2ccc(OCc3cn(-c4c(Cl)cccc4C#N)nn3)cc2)CC1=O,450.89,1.0,7.0,6.0,0,4,0.227,113.14,3,1,1,2.33,6,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7151752710342407
m_274860____17152418____17196330____17179542,CN(Cc1cn(-c2cncc(C(=O)NC3CCN(c4ccc(F)cc4)C3=O)c2)nn1)C1CCCCC1,491.57,1.0,7.0,7.0,0,5,0.423,96.25,3,1,1,3.1,7,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7093437910079956
m_280190____19292532____19336694____23040974,CN1CCCC(NC(=O)Cc2ccc(-n3cc(-c4cccc(C(=O)O)c4)nn3)cc2)C1=O,433.47,2.0,6.0,6.0,0,4,0.261,117.42,3,1,1,1.91,8,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7091574668884277
m_274860____17129652____17191386____23196534,CN1CCC(NC(=O)c2cccc(Cn3cc(-c4ccc(OC(F)F)nc4)nn3)c2)C1=O,442.43,1.0,7.0,7.0,0,4,0.286,102.24,3,1,1,1.95,9,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7056831121444702
m_274552____24795966____15946596____15978352,CN1CCC(NC(=O)c2cccc(-c3cccc(CNC(=O)c4ccc(CO)cn4)c3)c2)C1=O,458.52,3.0,5.0,7.0,0,4,0.231,111.63,3,1,1,2.13,10,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7029169201850891
m_279130____28098810____28139558____28195630,CC(C)N1CCC(NC(=O)c2cccc(-c3cn(Cc4nc5ccccc5[nH]4)nn3)c2F)C1=O,461.5,2.0,6.0,6.0,0,5,0.292,108.8,4,1,1,2.75,11,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.7016127109527588
m_279130____28136632____28166566____28194282,CC1(C)CC(Cn2cc(-c3cccc(C(C)(C)NC(=O)COC4CCOC4)c3)nn2)NC1=O,455.56,2.0,7.0,8.0,0,4,0.583,107.37,2,2,1,2.02,12,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.697838306427002
m_274860____24675740____17196330____23179638,CN1CCC(NC(=O)c2cncc(-n3cc(-c4cnn(CC(F)(F)F)c4)nn3)c2)C1=O,434.38,1.0,8.0,5.0,0,4,0.333,110.83,3,1,0,1.05,13,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6943415999412537
m_279130____28137296____28187882____28194460,CCN(CCc1cn(C2CCCNC2=O)nn1)C(=O)C(O)C(C)C,337.42,2.0,6.0,7.0,0,2,0.75,100.35,1,2,1,0.14,14,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6942788362503052
s_2624____32261312____27379700,CC(NC(=O)COc1cccc2c1C(=O)OC2)c1ccccc1,311.34,1.0,4.0,5.0,0,3,0.222,64.63,2,1,0,2.61,15,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6937113404273987
s_188690____28251002____21752422,O=C(O)c1cccc(C2(O)CN(C(=O)CN3CCCCC(OCc4ccccc4)C3=O)C2)c1,452.51,2.0,5.0,7.0,0,4,0.4,107.38,2,1,1,2.01,16,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6914393901824951
m_279130____28128474____28139432____28194138,CN1CCCCC(NC(=O)COc2cccc(-c3cn(C4CCCc5cccnc54)nn3)c2)C1=O,474.56,1.0,7.0,6.0,0,5,0.423,102.24,3,2,0,2.77,17,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6914169192314148
m_274860____24684052____17191386____12655760,CN1CCCC(CNC(=O)c2cccc(Cn3cc(COc4ccccc4O)nn3)c2)C1=O,449.51,2.0,7.0,8.0,0,4,0.333,109.58,3,1,1,2.21,18,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6907842755317688
m_279130____28127286____28139520____28194396,CN1CCC(NC(=O)CCc2cccc(-c3cn(C4CCC(N)CC4)nn3)c2)CC1=O,424.55,2.0,6.0,6.0,0,4,0.565,106.14,2,1,1,2.06,19,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6894983053207397
m_274552____23519944____15946596____13454298,CN1CCC(NC(=O)CC2C3CCC(C3)N2C(=O)Cc2cccnc2)C1=O,370.45,1.0,4.0,5.0,0,4,0.6,82.61,1,4,1,0.74,20,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6889675259590149
s_240690____17028170____9111808,N#Cc1ccc(CN2CCC(NC(=O)c3ccc4c(c3)CNCC4)C2=O)cc1,374.44,2.0,4.0,4.0,0,4,0.318,85.23,2,1,1,1.74,21,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6854695677757263
m_279130____28125040____28139440____28194012,NC1CCCCC1n1cc(-c2cccc(CC(=O)NC3Cc4ccccc4NC3=O)c2)nn1,444.54,3.0,6.0,5.0,0,5,0.36,114.93,3,3,1,2.61,22,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6830998659133911
m_279130____28118686____28595644____28196366,CN1CCCC(NC(=O)C2(c3cccc(-c4cn(-c5ccc(C(=O)O)cc5)nn4)c3)CC2)C1=O,459.51,2.0,6.0,6.0,0,5,0.32,117.42,3,1,1,2.4,23,ALPHA_SYNC_CRBN,Alpha-synuclein,CRBN,4347,0.6824514269828796
