id,smiles,mw,hbd,hba,rot_bonds,net_charge,ring_count,fsp3,tpsa,aromatic_rings,total_stereo,undefined_stereo,logp,rank,context,target_name,effector_name,reference_ligand_count,centroid_score
m_274552____24795974____25020228____13454336,CNC(=O)C1CC(O)CN1C(=O)CC(NC(=O)c1csnc1C)c1ccc(-c2ccccc2)cc1,492.6,3.0,6.0,7.0,0,4,0.308,111.63,3,3,0,2.69,1,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.8031516075134277
m_275592____22413780____14139044____15862396,CC(C)COC(C(=O)N1CC(O)CC1CNC(=O)c1ccsn1)C(C)C,383.51,2.0,6.0,8.0,0,2,0.722,91.76,1,3,1,1.53,2,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.794751763343811
m_274552____24795266____24989940____25038748,CNC(=O)C(NC(=O)c1ccc(C2COCCN2C(=O)Cc2ccsn2)n1C)C1CC1,445.55,2.0,7.0,7.0,0,4,0.524,105.56,2,2,1,0.88,3,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7872647643089294
m_282151____27644580____25199410____27571348,CC(=O)NC(C(=O)N(Cc1cncs1)CC1(CO)CC12CCC2)C(C)C,379.53,2.0,5.0,8.0,0,3,0.737,82.53,1,2,1,2.19,4,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7804497480392456
m_275592____19666892____15846240____15858554,Cc1nc(CO)sc1C(=O)NC(CNC(=O)c1cc(C2CCC2)no1)C(C)(C)C,420.54,3.0,7.0,7.0,0,3,0.6,117.35,2,1,0,2.77,5,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7803470492362976
m_274552____24795974____15955994____15984300,O=C(CC(NC(=O)c1cnsc1)c1ccc(-c2ccccc2)cc1)NC1CCC(O)CC1,449.58,3.0,5.0,7.0,0,4,0.32,91.32,3,1,0,4.09,6,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7803083062171936
m_275592____14115108____13187370____15863438,CC(=O)N1CC(O)CC1C(=O)NC1c2ccccc2CC1NC(=O)c1csnc1C,428.51,3.0,6.0,4.0,0,4,0.429,111.63,2,4,0,0.94,7,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7779333591461182
m_275592____25034718____14137376____13186698,CC(=O)NC(C(=O)NC1Cc2ccccc2C1NC(=O)c1csnc1C)C(C)C,414.53,3.0,5.0,6.0,0,3,0.429,100.19,2,3,0,2.12,8,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7725355625152588
m_275592____14115108____15843672____14132440,CC(CC(=O)NC1Cc2ccccc2C1NC(=O)c1ccsn1)CN(C)C,386.52,2.0,5.0,7.0,0,3,0.45,74.33,2,3,1,2.24,9,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7694835066795349
m_275592____20018338____21832322____14132114,Cn1nc(C2CC2)cc1C(=O)N1C(CNC(=O)c2ccc(CO)s2)CC2CCCCC21,442.58,2.0,6.0,6.0,0,5,0.609,87.46,2,3,0,3.06,10,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7681440711021423
m_279130____28137094____28162656____28194998,O=C(c1ccc(-c2cscn2)cc1)N1CCCC1COCc1cn(-c2ccnc(CO)c2)nn1,476.56,1.0,9.0,8.0,0,5,0.292,106.26,4,1,0,3.1,11,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7638980746269226
m_274860____24710860____24666028____28679786,CC(C)(C)C(C(=O)NC1CCCCC1n1cc(-c2cc(Cl)ccn2)nn1)c1cc[nH]n1,441.97,2.0,6.0,5.0,0,4,0.5,101.38,3,3,1,4.15,12,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7636905908584595
s_11____25794106____8644156,CC(=O)NC(CC(C)C)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1,472.61,3.0,6.0,8.0,0,3,0.5,111.63,2,3,0,2.25,13,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7633152604103088
m_275592____25034718____25319338____19069108,CC(C)(C(=O)NC1c2ccccc2CC1NC(=O)c1cnn2cccc2c1)c1cscn1,445.55,2.0,6.0,5.0,0,5,0.25,88.39,4,2,0,3.28,14,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7625678181648254
m_274552____24795974____15961894____15975488,CCN1CC2CC1CN2C(=O)CC(NC(=O)c1nc(C)sc1C)c1ccc(-c2ccccc2)cc1,488.66,1.0,5.0,7.0,0,5,0.393,65.54,3,3,0,4.59,15,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7624743580818176
m_282910____27096324____27096810____27123638,CC(c1csc(-c2ccn[nH]2)n1)N(C)C(=O)C(NC(=O)OC(C)(C)C)c1ccnn1C,445.55,2.0,8.0,6.0,0,3,0.45,118.03,3,2,1,3.05,16,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7614032030105591
m_275592____19666892____14138356____15858282,Cc1scnc1C(=O)NC(CNC(=O)c1cc(C(C)C)no1)C(C)(C)C,378.5,2.0,6.0,6.0,0,2,0.556,97.12,2,1,0,3.14,17,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.761016845703125
m_274552____24795024____24990364____15979810,CCc1ncsc1C(=O)NC1CC(C(=O)N2CCCC2CSC)(c2c(F)cccc2F)C1,479.62,1.0,5.0,7.0,0,4,0.522,62.3,2,1,0,4.17,18,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7604544162750244
m_275592____18896176____13187182____15860846,CC(C(=O)NCC1CC(O)CN1C(=O)c1cscn1)c1ccc(C#N)cc1,384.46,2.0,6.0,5.0,0,3,0.368,106.32,2,3,1,1.51,19,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7603476643562317
m_275592____21824252____13187520____21840466,CC(=O)N1CC(O)CC1C(=O)NC(CNC(=O)c1ccsc1C)Cc1ccccc1,429.54,3.0,5.0,7.0,0,3,0.409,98.74,2,3,0,1.5,20,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.7591450214385986
m_279130____28136840____28151512____28195262,Cc1csnc1C(=O)NC(c1cn(CC(O)CC#N)nn1)C1(C)CC1,360.44,2.0,8.0,7.0,0,3,0.562,116.72,2,2,1,1.59,21,KRAS_G12D_VHL,KRAS G12D,VHL,12,0.757645308971405
