TPD ID,Activity Type,Target Symbols,Target IDs,Cell Line,Activity
TPD-7WEF5B,DC50,BRD4,O60885,HEK293 BRD4-HiBiT cell line,4nM
TPD-RNQK6K,IC50,E2F2,Q14209,HepG2,0.12μM
TPD-RNQK6K,IC50,E2F2,Q14209,HepG2,0.18μM
TPD-1730LX,EC50,CCNK,O75909,HEK293T-Cas9,0.16μM
TPD-1730LX,EC50,CCNK,O75909,HEK293T-Cas9 cells_DDB1(knock out),1.12μM
TPD-H36FEP,AC50,STING,Q86WV6,THP1-Dual,5.2μM
TPD-UYX5KC,EC50,CDK12,Q9NYV4,A549,1.9mM
TPD-UYX5KC,DC50,CDK12,Q9NYV4,HEK293T,0.132μM
TPD-Q90952,EC50,GSPT2,Q8IYD1,.,0.2-4.8μM
TPD-Q90952,DC50,GSPT2,Q8IYD1,RKO,<1μM
TPD-GP3QEF,DC50,.,.,AML(KG-1),≤10nM
TPD-3GSS6I,IC50,eRF1,P62495,HeLa RNF14,<10μM
TPD-JFBQFN,KDapp,RBM39,Q14498,.,3.8μM
TPD-JFBQFN,EC50,RBM39,Q14498,.,0.74μM
TPD-JFBQFN,EC50,RBM23,Q86U06,.,1.0μM
TPD-JFBQFN,Ki,.,.,.,2.9μM
TPD-PCBVIQ,MEC,AR/AR-V7,P10275/P10275-3,22Rv1 cells-AR-HiBit,1.25μM
TPD-PCBVIQ,Dmax(20 μM),AR/AR-V7,P10275/P10275-3,22Rv1 cells-AR-HiBit,64.40%
TPD-EBH1OJ,EC50,.,.,.,9μM
TPD-EBH1OJ,EC50,.,.,.,45μM
TPD-EBH1OJ,EC50,.,.,.,107μM
TPD-EBH1OJ,EC50,.,.,.,253μM
TPD-EBH1OJ,EC50,.,.,.,187μM
TPD-OTZLID,GI50,.,.,.,≤100nmol/L
TPD-OTZLID,EC50,MEK1/ARAF,Q02750/P10398,.,1.2nM
TPD-OTZLID,EC50,MEK1/BRAF,Q02750/P15056,.,3.5nM
TPD-OTZLID,EC50,MEK1/CRAF,Q02750/P04049,.,2.8nM
TPD-T50FF4,IC50,PDE3A,Q14432,.,30-80nM
