TPD ID,TPD NAME,PubChem synonyms,SMILES,Subtype,Fomula,Target Symbol,Target ID,Ligase,Source
TPD-P58QBR,Nvp-dky709,"NVP-DKY709; 2291360-73-9; DKY709; 3-(5-(1-benzylpiperidin-4-yl)-1-oxoisoindolin-2-yl)piperidine-2,6-dione; DKY-709; NVP-DKY709?; CHEMBL5077506; SCHEMBL20765247; GTPL12583; GLXC-27294; EX-A6216; AKOS040759980; AT38274; compound 5 [PMID: 36863346]; BP-28983; MS-27288; HY-144998; CS-0436652; Z6963278709; 3-[6-(1-benzylpiperidin-4-yl)-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1,Degrader,C25H27N3O3,IKZF2,Q9UKS7,CRBN,10.1016/j.chembiol.2023.02.005
TPD-7WEF5B,PROTAC BRD4 Degrader-7,"PROTAC BRD4 Degrader-7; 2413382-30-4; BRD4 degrader-3; GNE11; CHEMBL5434715; SCHEMBL21846909; EX-A11422; HY-136857; CS-0134151; H38190; tert-butyl 2-[(9S)-7-[4-(3-aminoprop-1-ynyl)phenyl]-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetate",Cc1sc2c(c1C)C(c1ccc(C#CCN)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,Degrader,C26H29N5O2S,BRD2;BRD4,P25440/O60885,DCAF16,10.1021/acschembio.2c00747
TPD-RNQK6K,Bufalin,"bufalin; 465-21-4; CHEBI:517248; UNII-U549S98QLW; U549S98QLW; 3,14-Dihydroxy-bufa-20,22-dienolide; 3-beta,14-Dihydroxy-5-beta-bufa-20,22-dienolide; BUFALIN [MI]; NSC 89595; BUFALIN [WHO-DD]; 3beta,14beta-dihydroxy-5beta-bufa-20,22-dienolide; BRN 5141601; DTXSID90873563; (3beta,5beta)-3,14-dihydroxybufa-20,22-dienolide; NSC-89595; 5-[(3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one; 5beta-Bufa-20,22-dienolide, 3beta,14-dihydroxy-; 5-beta-BUFA-20,22-DIENOLIDE, 3-beta,14-DIHYDROXY-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3beta,5beta)-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3-beta,5-beta)-; Bufa-20,22-dienolide, 3,14-dihydroxy-, (3.beta.,5.beta.)-; 5-((3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta(a)phenanthren-17-yl)pyran-2-one; 3-.beta.,14-Dihydroxy-5-.beta.-bufa-20,22-dienolide; 5.beta.-Bufa-20,22-dienolide, 3.beta.,14-dihydroxy-; DTXCID701476780; 3b,14b-Dihydroxy-5b-bufa-20,22-dienolide; 3-b,14-Dihydroxy-5-b-bufa-20,22-dienolide; (3b,5b)-3,14-Dihydroxybufa-20,22-dienolide; 5beta-Bufa-20,22-Dienolide, 3beta,14-Dihydroxy-(8CI); Bufa-20,22-Dienolide, 3,14-Dihydroxy-, (3-Beta,5-Beta)-(9CI); Bufa-20,22-Dienolide, 3,14-Dihydroxy-, (3beta,5beta)-(9CI); qeebrpgzbvvinn-uhfffaoysa-n; 5-((3S,5R,8R,9S,10S,13R,14S,17R)-3,14-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)-2H-pyran-2-one; Bufalin?; Ch'an su; BUF; Bufalin (Standard); SCHEMBL165666; CHEMBL399680; HY-N0877R; GLXC-06974; HY-N0877; BDBM50584761; HSCI1_000110; LMST01130001; MSK161316; s7821; AKOS015965454; CS-3694; FB19349; SMP2_000290; AC-20197; AC-34068; BS-17080; DA-61937; C16922; (3ss,5ss)-3,14-Dihydroxybufa-20,22-dienolide; BRD-K63606607-001-01-8; BRD-K63606607-001-02-6; Q18379323; (3beta,5beta,10alpha,17alpha)-3,14-dihydroxybufa-20,22-dienolide; (3?,5?)-3,14-Dihydroxy-bufa-20,22-dienolide;3?,14-dihydroxy-5?-bufa-20,22-dienolide",C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O,Degrader,C24H34O4,E2F2,Q14209,ZFP91,10.1016/j.ebiom.2022.104353
TPD-1730LX,"CR8, (R)-Isomer","(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol\; (2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol; (2R)-2-{[9-(propan-2-yl)-6-({[4-(pyridin-2-yl)phenyl]methyl}amino)-9H-purin-2-yl]amino}butan-1-ol; (2R)-2-((9-(1-methylethyl)-6-((4-pyridin-2-ylbenzyl)amino)-9H-purin-2-yl)amino)butan-1-ol; (2R)-2-((9-(propan-2-yl)-6-(((4-(pyridin-2-yl)phenyl)methyl)amino)-9H-purin-2-yl)amino)butan-1-ol; 294646-77-8; CR8, (R)-Isomer; (R)-CR8; 1-Butanol, 2-[[9-(1-methylethyl)-6-[[[4-(2-pyridinyl)phenyl]methyl]amino]-9H-purin-2-yl]amino]-, (2R)-; (R)?-?CR8; (R)-2-((9-Isopropyl-6-((4-(pyridin-2-yl)benzyl)amino)-9H-purin-2-yl)amino)butan-1-ol; CHEMBL518800; (2R)-2-[[9-propan-2-yl-6-[(4-pyridin-2-ylphenyl)methylamino]purin-2-yl]amino]butan-1-ol; CR8; 3ddp; RC8; CDK inhibitor CR8; CR8 3HCl (R); CR-8; SCHEMBL13001902; GTPL11065; CR8-(R); DTXSID80436984; HMS3229B13; BDBM50154937; EX-A11115; AKOS025394606; CR8, >=95% (HPLC); DB08463; NCGC00370890-01; DA-48763; HY-18340; MS-27687; CS-0007451; NS00071534; G60966; EN300-25631346; BRD-K40331046-305-01-5; Q27097669; (R)-2-(9-Isopropyl-6-(4-(pyridin-2-yl)benzylamino)-9H-purin-2-ylamino)butan-1-ol; (2R)-2-[[9-propan-2-yl-6-[(4-pyridin-2-ylphenyl)methylamino]purin-2-yl]amino]butan-1-ol; CR8, (R)-Isomer",CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=C(C=C3)C4=CC=CC=N4,Degrader,C24H29N7O,CDK12;CCNK,Q9NYV4/O75909,DDB1,10.1038/s41586-020-2374-x
TPD-H36FEP,Nvs-stg2,"NVS-STG2; 3030588-01-0; 4-((4-(2-(tert-Butyl)-5,5-dimethyl-1,3-dioxan-2-yl)benzyl)amino)-3-methoxybenzoic acid; 4-({[4-(2-tert-butyl-5,5-dimethyl-1,3-dioxan-2-yl)phenyl]methyl}amino)-3-methoxybenzoic acid; Y6H; STING agonist NVS-STG2; GLXC-27681; EX-A10229; HY-157214; CS-0907430; G86934",COc1cc(C(=O)O)ccc1NCc1ccc(C2(C(C)(C)C)OCC(C)(C)CO2)cc1,Stabilizer,C25H33NO5,STING,Q86WV6,.,10.1038/s41589-023-01434-y
TPD-UYX5KC,HQ461,"2-(2-((6-methylpyridin-2-yl)amino)thiazol-4-yl)-N-(5-methylthiazol-2-yl)acetamide\; HQ461; 1226443-41-9; 2-(2-((6-methylpyridin-2-yl)amino)thiazol-4-yl)-N-(5-methylthiazol-2-yl)acetamide; 2-[2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl]-N-(5-methyl-1,3-thiazol-2-yl)acetamide; 2-[2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl]-~{N}-(5-methyl-1,3-thiazol-2-yl)ethanamide; CHEMBL5175040; SCHEMBL24101439; EX-A6338; HQ461?; AKOS024528215; MS-25304; N-(5-methyl-1,3-thiazol-2-yl)-2-{2-[(6-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl}acetamide; HY-144981; CS-0436598; VU0528787-1; G67905; EN300-37447427; F5950-0461; RPW",CC1=NC(=CC=C1)NC2=NC(=CS2)CC(=O)NC3=NC=C(S3)C  ,Degrader,C15H15N5OS2,CDK12;CCNK,Q9NYV4/O75909,DDB1,10.7554/eLife.59994
TPD-U7N8WL,N-[2-chloro-5-(dimethylsulfamoyl)phenyl]prop-2-enamide,"EN450; 793719-01-4; N-[2-chloro-5-(dimethylsulfamoyl)phenyl]prop-2-enamide; N-(2-Chloro-5-(N,N-dimethylsulfamoyl)phenyl)acrylamide; N-[2-Chloro-5-[(dimethylamino)sulfonyl]phenyl]-2-propenamide; starbld0003560; EX-A7945F; GTPL12636; GLXC-27517; EN-450; EN450?; AKOS008967683; NCGC00658745-01; AS-88055; DA-63182; HY-49444; CS-0783610; G76756; EN300-7515212; Z57043669",CN(C)S(=O)(=O)C1=CC(=C(C=C1)Cl)NC(=O)C=C ,Degrader,C11H13ClN2O3S,NFKB1,P19838,UBE2D1,10.1016/j.chembiol.2023.02.008
TPD-Q90952,PMID38098458_FL2-14,.,CN(CC1=NC=C(C2CC2)O1)S(=O)(=O)OC1=CC=C(NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1,Degrader,C27H25N5O8S,GSPT2,Q8IYD1,CRBN,10.1021/acschembio.3c00598
TPD-GP3QEF,Cc-90009,"Eragidomide; 1860875-51-9; CC-90009; Cereblon modulator 1; Eragidomide [INN]; 2-(4-chlorophenyl)-N-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]-2,2-difluoroacetamide; R76M2Z6366; Compound 1 [WO2019006299A1]; compound 16 [PMID: 33591756]; 2-(4-Chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-yl)methyl)-2,2-difluoroacetamide; Compound 1 (WO2019006299A1); compound 16 (PMID: 33591756); 2-(4-chlorophenyl)-N-{[2-(2,6-dioxopiperidin-3-yl)-1-oxo-2,3-dihydro-1H-isoindol-5-yl]methyl}-2,2-difluoroacetamide; 2-(4-chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl)methyl)-2,2-difluoroacetamide; Cereblon Modulator CC-90009; CC 90009; 2-(4-chlorophenyl)-N-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)methyl)-2,2-difluoroacetamide; CHEMBL4742712; CC90009; MFCD32690104; Eragidomide [WHO-DD]; Eragidomide; CC-90009; SCHEMBL17420717; UNII-R76M2Z6366; GTPL11424; GLXC-23380; BCP33889; EX-A4705; KZC87551; BDBM50557457; NSC828250; s9832; AKOS040732788; AT18065; NSC-828250; AC-37776; BP-28981; DA-51789; MS-28481; SY325383; CC-90009?; HY-130800; CS-0114090; CC90009; CC 90009; Cereblon modulator 1; Z3417355787; 2-(4-Chlorophenyl)-N-[[2-(2,6-dioxo-3-piperidyl)-1-oxoisoindolin-5-yl]methyl]-2,2-difluoroacetamide",O=C1CCC(N2Cc3cc(CNC(=O)C(F)(F)c4ccc(Cl)cc4)ccc3C2=O)C(=O)N1,Degrader,C22H18ClF2N3O4,GSPT1,P15170,CRBN,10.1182/blood.2020008676
TPD-3GSS6I,DA-67756,"2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5(3H,10H)-dione\; 1613509-49-1; 2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5(3H,10H)-dione; SRI-41315; SCHEMBL15797052; XUOTZAUZHWCGHL-UHFFFAOYSA-N; DA-67756; SY311565; HY-150090; CS-0608650; F88879; 2-cyclobutyl-10-methyl-3-phenylpyrimido[4,5-b]quinoline-4,5-dione; ZVM",CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCC5,Stabilizer,C22H19N3O2,eRF1;RPS23,P62495/P62266,.,10.1038/s41589-023-01521-0
